canonical_name,catalog_exercise_id_if_resolvable,family,base_movement,default_measurement_mode,allowed_measurement_modes,sets_applicable,load_applicability,rir_applicability,distance_unit_recommendation,measurement_disposition,confidence,notes
Push-Up,,horizontal_press,push_up,reps,reps,yes,optional,applicable,,MEASUREMENT_CLEAR,high,"Dynamic bodyweight strength exercise; repetitions are primary, added load is optional, and RIR remains meaningful."
Incline Push-Up,,horizontal_press,push_up,reps,reps,yes,optional,applicable,,MEASUREMENT_CLEAR,high,"Dynamic bodyweight strength exercise; repetitions are primary, added load is optional, and RIR remains meaningful."
Bodyweight Squat,,bilateral_knee_dominant,squat,reps,reps,yes,optional,applicable,,MEASUREMENT_CLEAR,high,"Dynamic bodyweight strength exercise; repetitions are primary, added load is optional, and RIR remains meaningful."
Reverse Lunge,,unilateral_knee_dominant,reverse_lunge,reps,reps,yes,optional,applicable,,MEASUREMENT_CLEAR,high,"Dynamic bodyweight strength exercise; repetitions are primary, added load is optional, and RIR remains meaningful."
Split Squat,,unilateral_knee_dominant,split_squat,reps,reps,yes,optional,applicable,,MEASUREMENT_CLEAR,high,"Dynamic bodyweight strength exercise; repetitions are primary, added load is optional, and RIR remains meaningful."
Glute Bridge,,hip_extension,glute_bridge,reps,reps,yes,optional,applicable,,MEASUREMENT_CLEAR,high,"Dynamic bodyweight strength exercise; repetitions are primary, added load is optional, and RIR remains meaningful."
Plank,,core_anti_extension,plank,duration,duration,yes,optional,not_applicable,,MEASUREMENT_CLEAR,high,"Isometric trunk brace; duration is primary, optional external load can be observed, and rep-based RIR does not apply."
Side Plank,,lateral_core_stability,side_plank,duration,duration,yes,optional,not_applicable,,MEASUREMENT_CLEAR,high,"Isometric lateral brace; duration is primary, optional external load can be observed, and rep-based RIR does not apply."
Dead Bug,,core_anti_extension,dead_bug,reps,reps,yes,not_applicable,not_applicable,,MEASUREMENT_CLEAR,high,"Dynamic control drill; count deliberate repetitions, while RIR is not a useful default target."
Mountain Climber,,ground_conditioning,mountain_climber,duration,reps|duration,yes,not_applicable,not_applicable,,MULTI_MODE_VALID,medium,Conditioning drill can be prescribed by elapsed time or counted contacts; duration is the safer default.
Inverted Row,,rowing,row,reps,reps,yes,optional,applicable,,MEASUREMENT_CLEAR,high,"Dynamic bodyweight strength exercise; repetitions are primary, added load is optional, and RIR remains meaningful."
Dumbbell Bench Press,,horizontal_press,bench_press,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Incline Dumbbell Press,,horizontal_press,bench_press,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Shoulder Press,,vertical_press,overhead_press,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
One-Arm Dumbbell Row,,rowing,row,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Row,,rowing,dumbbell_row,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Chest-Supported Dumbbell Row,,rowing,row,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Chest-Supported Row,,rowing,row,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Possible taxonomy alias, but its physical rowing work is clearly repetition-based with load and RIR applicable."
Dumbbell RDL,,hip_hinge,romanian_deadlift,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Goblet Squat,,bilateral_knee_dominant,goblet_squat,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Split Squat,,unilateral_knee_dominant,split_squat,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Reverse Lunge,,unilateral_knee_dominant,reverse_lunge,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Lateral Raise,,shoulder_elevation,lateral_raise,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Curl,,elbow_flexion,curl,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Dumbbell Triceps Extension,,elbow_extension,triceps_extension,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Farmer Carry,,loaded_carry,farmer_carry,distance,duration|distance,yes,applicable,not_applicable,meters,MULTI_MODE_VALID,high,"Loaded locomotion is most naturally prescribed by distance; duration is a valid space-constrained alternative, while load remains independent."
Barbell Squat,,bilateral_knee_dominant,barbell_squat_unspecified,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Bar position remains taxonomy-reviewable, but every plausible squat meaning is repetition-based with load and RIR applicable."
Back Squat,,bilateral_knee_dominant,back_squat,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Front Squat,,bilateral_knee_dominant,squat,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Barbell Bench Press,,horizontal_press,bench_press,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Overhead Press,,vertical_press,overhead_press,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Barbell Row,,rowing,barbell_row,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Romanian Deadlift,,hip_hinge,romanian_deadlift,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Conventional Deadlift,,hip_hinge,conventional_deadlift,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Hip Thrust,,hip_extension,hip_thrust,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
EZ-Bar Curl,,elbow_flexion,curl,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
EZ-Bar Skull Crusher,,elbow_extension,skull_crusher,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
EZ-Bar Close-Grip Press,,horizontal_press,bench_press,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Pull-Up,,vertical_pull,pull_up,reps,reps,yes,optional,applicable,,MEASUREMENT_CLEAR,high,"Dynamic bodyweight strength exercise; repetitions are primary, added load is optional, and RIR remains meaningful."
Chin-Up,,vertical_pull,chin_up,reps,reps,yes,optional,applicable,,MEASUREMENT_CLEAR,high,"Dynamic bodyweight strength exercise; repetitions are primary, added load is optional, and RIR remains meaningful."
Band-Assisted Pull-Up,,vertical_pull,pull_up,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Assisted dynamic pull-up; repetitions remain primary, band resistance is part of the setup, and RIR remains meaningful."
Hanging Knee Raise,,trunk_flexion,hanging_knee_raise,reps,reps,yes,optional,applicable,,MEASUREMENT_CLEAR,high,"Dynamic bodyweight strength exercise; repetitions are primary, added load is optional, and RIR remains meaningful."
Band Pull-Apart,,rear_delt_retraction,band_pull_apart,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Band Face Pull,,rear_delt_retraction,face_pull,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Band Row,,rowing,row,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Band Triceps Pressdown,,elbow_extension,triceps_pressdown,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Band External Rotation,,shoulder_rotation,external_rotation,reps,reps,yes,applicable,ambiguous,,MEASUREMENT_CLEAR,high,"Count controlled repetitions; band resistance is applicable, but RIR is optional/technique-dependent rather than a safe universal target."
Cable Row,,rowing,cable_row,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Cable Lat Pulldown,,vertical_pull,lat_pulldown,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Possible taxonomy alias, but the loaded pulldown is clearly repetition-based with RIR applicable."
Lat Pulldown,,vertical_pull,lat_pulldown,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Cable Face Pull,,rear_delt_retraction,face_pull,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Cable Triceps Pressdown,,elbow_extension,triceps_pressdown,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
Cable Curl,,elbow_flexion,curl,reps,reps,yes,applicable,applicable,,MEASUREMENT_CLEAR,high,"Dynamic resistance exercise; repetitions are the primary target, with external load and RIR meaningful."
