canonical_name,current_exercise_type,current_movement_pattern,current_equipment_required,proposed_family,proposed_base_movement,physical_variant_attributes,prescription_or_protocol_attributes,visual_identity_candidate,catalog_disposition,confidence,notes
Push-Up,strength,horizontal_push,bodyweight,horizontal_press,push_up,equipment=bodyweight,,visual_push_up,RETAIN_DISTINCT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Incline Push-Up,strength,horizontal_push,bodyweight; adjustable_bench,horizontal_press,push_up,equipment=bodyweight+adjustable_bench; support_type=bench; bench_angle=incline,,visual_incline_push_up,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Bodyweight Squat,strength,squat,bodyweight,bilateral_knee_dominant,squat,equipment=bodyweight,,visual_bodyweight_squat,RETAIN_DISTINCT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Reverse Lunge,strength,lunge,bodyweight,unilateral_knee_dominant,reverse_lunge,equipment=bodyweight; stance=split,,visual_reverse_lunge,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Split Squat,strength,lunge,bodyweight,unilateral_knee_dominant,split_squat,equipment=bodyweight; stance=split,,visual_split_squat,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Glute Bridge,strength,hinge,bodyweight,hip_extension,glute_bridge,equipment=bodyweight,,visual_glute_bridge,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Plank,core,core_anti_extension,bodyweight,core_anti_extension,plank,equipment=bodyweight,,visual_plank,RETAIN_DISTINCT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Side Plank,core,core_anti_rotation,bodyweight,lateral_core_stability,side_plank,equipment=bodyweight; execution_mode=isometric,,visual_side_plank,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dead Bug,core,core_anti_extension,bodyweight,core_anti_extension,dead_bug,equipment=bodyweight,,visual_dead_bug,RETAIN_DISTINCT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Mountain Climber,conditioning,conditioning,bodyweight,ground_conditioning,mountain_climber,equipment=bodyweight,,visual_mountain_climber,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Inverted Row,strength,horizontal_pull,bodyweight,rowing,row,equipment=bodyweight,,visual_inverted_row,RETAIN_DISTINCT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Bench Press,strength,horizontal_push,dumbbell; adjustable_bench,horizontal_press,bench_press,equipment=dumbbell+adjustable_bench; support_type=bench,,visual_dumbbell_bench_press,RETAIN_DISTINCT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Incline Dumbbell Press,strength,horizontal_push,dumbbell; adjustable_bench,horizontal_press,bench_press,equipment=dumbbell+adjustable_bench; support_type=bench; bench_angle=incline,,visual_incline_dumbbell_press,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Shoulder Press,strength,vertical_push,dumbbell,vertical_press,overhead_press,equipment=dumbbell,,visual_dumbbell_shoulder_press,RETAIN_DISTINCT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
One-Arm Dumbbell Row,strength,horizontal_pull,dumbbell; adjustable_bench,rowing,row,equipment=dumbbell+adjustable_bench; support_type=bench; laterality=unilateral,,visual_one_arm_dumbbell_row,RETAIN_DISTINCT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Row,strength,horizontal_pull,dumbbell,rowing,dumbbell_row,equipment=dumbbell,,visual_dumbbell_row,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Chest-Supported Dumbbell Row,strength,horizontal_pull,dumbbell; adjustable_bench,rowing,row,equipment=dumbbell+adjustable_bench; support_type=bench; body_position=chest_supported,,visual_chest_supported_dumbbell_row,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Chest-Supported Row,strength,horizontal_pull,dumbbell; adjustable_bench,rowing,row,equipment=dumbbell+adjustable_bench; support_type=bench; body_position=chest_supported,,visual_chest_supported_row,ALIAS_OR_DUPLICATE_CANDIDATE,medium,Possible equivalent to Chest-Supported Dumbbell Row; remains separate until setup/instruction/media review confirms an alias.
Dumbbell RDL,strength,hinge,dumbbell,hip_hinge,romanian_deadlift,equipment=dumbbell,,visual_dumbbell_rdl,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Goblet Squat,strength,squat,dumbbell,bilateral_knee_dominant,goblet_squat,equipment=dumbbell; load_position=goblet,,visual_goblet_squat,RETAIN_DISTINCT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Split Squat,strength,lunge,dumbbell,unilateral_knee_dominant,split_squat,equipment=dumbbell; stance=split,,visual_dumbbell_split_squat,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Reverse Lunge,strength,lunge,dumbbell,unilateral_knee_dominant,reverse_lunge,equipment=dumbbell; stance=split,,visual_dumbbell_reverse_lunge,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Lateral Raise,strength,vertical_push,dumbbell,shoulder_elevation,lateral_raise,equipment=dumbbell,,visual_dumbbell_lateral_raise,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Curl,strength,arms_biceps,dumbbell,elbow_flexion,curl,equipment=dumbbell,,visual_dumbbell_curl,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Dumbbell Triceps Extension,strength,arms_triceps,dumbbell,elbow_extension,triceps_extension,equipment=dumbbell,,visual_dumbbell_triceps_extension,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Farmer Carry,conditioning,carry,dumbbell,loaded_carry,farmer_carry,equipment=dumbbell; laterality=bilateral; load_position=sides; locomotion_mode=walk,,visual_farmer_carry,RETAIN_AS_STRUCTURED_VARIANT,high,Manually re-reviewed semantic classification from current canonical name and catalog fields; no runtime meaning changed.
Barbell Squat,strength,squat,barbell; rack; plates,bilateral_knee_dominant,barbell_squat_unspecified,equipment=barbell+rack+plates,,visual_barbell_squat,TAXONOMY_REVIEW_REQUIRED,medium,Umbrella name beside Back Squat leaves bar position unspecified and needs catalog-owner definition.
