"provider_exercise_id","provider_exercise_name","canonical_name","selection_reason","exercise_type","movement_pattern","primary_muscles","secondary_muscles","equipment_required","difficulty","family_slug","base_movement_slug","visual_identity_slug","taxonomy_status","default_measurement_type","allowed_measurement_types","provider_media_decision","provider_media_reason","provider_gif_url","provider_source_endpoint","reviewed_on"
"A9qxk2F","archer push up","Archer Push-Up","Adds an advanced side-to-side push-up progression with meaningfully asymmetric loading.","strength","horizontal_push","chest|triceps|shoulders","triceps|shoulders|core","bodyweight","advanced","horizontal_press","push_up","visual_archer_push_up","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/A9qxk2F.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"tFToB7l","reverse plank with leg lift","Reverse Plank Leg Lift","Adds posterior-chain and trunk control from a reverse-plank setup rather than another front-plank variation.","core","core_anti_extension","core|glutes|hamstrings","glutes|hamstrings|shoulders","bodyweight","intermediate","core_anti_extension","plank","visual_reverse_plank_leg_lift","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/tFToB7l.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"VO2qeJg","side plank hip adduction","Side Plank Hip Adduction","Adds a common adductor-focused side-plank variation with distinct support and stimulus.","core","core_anti_rotation","core|obliques|adductors","obliques|glutes","bodyweight|adjustable_bench","advanced","lateral_core_stability","side_plank","visual_side_plank_hip_adduction","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/VO2qeJg.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"GibBPPg","glute bridge march","Glute Bridge March","Adds alternating single-leg trunk and hip control without duplicating the static single-leg bridge.","strength","hinge","glutes|hamstrings|core","hamstrings|quadriceps","bodyweight","intermediate","hip_extension","glute_bridge","visual_glute_bridge_march","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/GibBPPg.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"E4PwJqI","self assisted inverse leg curl","Self-Assisted Nordic Curl","Adds a high-value bodyweight knee-flexion progression with controlled hand assistance.","strength","hinge","hamstrings|glutes","glutes|calves","bodyweight|adjustable_bench","advanced","knee_flexion","hamstring_curl","visual_self_assisted_nordic_curl","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/E4PwJqI.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"nqs5HGV","single leg squat (pistol) male","Pistol Squat","Adds a widely recognized full-range unilateral squat progression distinct from skater squats and lunges.","strength","squat","quadriceps|glutes|core","quadriceps|hamstrings|calves","bodyweight","advanced","unilateral_knee_dominant","squat","visual_pistol_squat","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/nqs5HGV.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"kMzUs9Y","forward lunge (male)","Forward Lunge","Fills the basic forward-lunge gap alongside existing reverse, walking, and lateral lunges.","strength","lunge","quadriceps|glutes|hamstrings","quadriceps|hamstrings|calves","bodyweight","beginner","unilateral_knee_dominant","lunge","visual_forward_lunge","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/kMzUs9Y.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"LIlE5Tn","jump squat","Jump Squat","Adds a common bodyweight power exercise with a genuinely distinct takeoff and landing demand.","conditioning","squat","quadriceps|glutes|conditioning","quadriceps|hamstrings|calves","bodyweight","intermediate","bilateral_knee_dominant","squat","visual_jump_squat","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/LIlE5Tn.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"WL4EmxJ","side bridge hip abduction","Side Plank Hip Abduction","Adds a common lateral-hip side-plank variation that complements the admitted adduction setup.","core","core_anti_rotation","core|obliques|abductors","glutes|obliques","bodyweight","intermediate","lateral_core_stability","side_plank","visual_side_plank_hip_abduction","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/WL4EmxJ.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
"72BC5Za","archer pull up","Archer Pull-Up","Adds a high-value asymmetric pull-up progression with clear substitution value for advanced users.","strength","vertical_pull","lats|upper_back|biceps","biceps|forearms","pull_up_bar","advanced","vertical_pull","pull_up","visual_archer_pull_up","reviewed_existing_vocabulary","reps","reps","provider_media_not_approved","AscendAPI GIF expansion was intentionally retired from the current product direction; no new provider GIF mapping is being admitted.","https://static.exercisedb.dev/media/72BC5Za.gif","https://oss.exercisedb.dev/api/v1/exercises","2026-07-19"
